플랫폼,브랜드,품목,제목,가격,이미지URL,매물URL
번개장터,구찌,가방,GUCCI 구찌 정품 블랙 엠보가죽 뱀부 대나무 투포켓 여성 백팩 오피스 정장 배낭 가방 청라 중고 명품 25019,1499000,https://media.bunjang.co.kr/product/422264166_1_1785293538_w{res}.jpg,https://m.bunjang.co.kr/products/422264166
번개장터,구찌,가방,GUCCI   구찌 정품 여성 마이크로 시마 GG 블랙 가죽 466507 미니 크로스백 woc 여권가방 빈티지 청라중고명품25070,349000,https://media.bunjang.co.kr/product/422276133_1_1785300271_w{res}.jpg,https://m.bunjang.co.kr/products/422276133
번개장터,구찌,가방,GUCCI 구찌 516639 웹로고 여성 가방 아이보리 백팩 토트백 오피스백 끈배낭 빈티지 인천청라 중고명품25025,990000,https://media.bunjang.co.kr/product/422400298_1_1785389799_w{res}.jpg,https://m.bunjang.co.kr/products/422400298
번개장터,구찌,가방,정품 구찌 가방 토트백 가로27,168000,https://media.bunjang.co.kr/product/304081056_1_1733290626_w{res}.jpg,https://m.bunjang.co.kr/products/304081056
번개장터,구찌,가방,구찌 1955홀스빗 가방,1000000,https://media.bunjang.co.kr/product/422135633_1_1785220467_w{res}.jpg,https://m.bunjang.co.kr/products/422135633
번개장터,구찌,가방,구찌 아프로디테 스몰 블랙 숄더백 여성가방,1390000,https://media.bunjang.co.kr/product/422687710_1_1785591927_w{res}.jpg,https://m.bunjang.co.kr/products/422687710
번개장터,구찌,가방,구찌 GG마몽 탑핸들 브라운 가방,850000,https://media.bunjang.co.kr/product/410440017_1_1779797792_w{res}.jpg,https://m.bunjang.co.kr/products/410440017
번개장터,구찌,가방,구찌 님페아 탑핸들 가방 레드,1400000,https://media.bunjang.co.kr/product/422553918_1_1785545267_w{res}.jpg,https://m.bunjang.co.kr/products/422553918
번개장터,구찌,가방,구찌 엠보스 미니 더플백 숄더백 여성가방,850000,https://media.bunjang.co.kr/product/422686755_1_1785591459_w{res}.jpg,https://m.bunjang.co.kr/products/422686755
번개장터,구찌,가방,구찌 GG 오피디아 캔버스 삼선 여행가방 752587,1520000,https://media.bunjang.co.kr/product/349495953_1_1754636591_w{res}.jpg,https://m.bunjang.co.kr/products/349495953
번개장터,구찌,가방,구찌 블랙 마이크로시마 브리프케이스 비즈니스백 남성 서류가방 435322,900000,https://media.bunjang.co.kr/product/408229269_1_1778839235_w{res}.jpg,https://m.bunjang.co.kr/products/408229269
번개장터,구찌,가방,구찌 정품 여성가방 211943 GG시마 가죽 수키백 라지 빅쇼퍼백 빅숄더백 오피스백 청라 중고명품25130,599000,https://media.bunjang.co.kr/product/423309636_1_1786010988_w{res}.jpg,https://m.bunjang.co.kr/products/423309636
번개장터,구찌,가방,새제품급/구찌크로스가방,989000,https://media.bunjang.co.kr/product/421822720_1_1784959262_w{res}.jpg,https://m.bunjang.co.kr/products/421822720
번개장터,구찌,가방,새제품급/구찌크로스가방,988000,https://media.bunjang.co.kr/product/421822446_1_1784959288_w{res}.jpg,https://m.bunjang.co.kr/products/421822446
번개장터,구찌,가방,구찌가방,1300000,https://media.bunjang.co.kr/product/420805313_1_1784800993_w{res}.jpg,https://m.bunjang.co.kr/products/420805313
번개장터,구찌,가방,(정품) 구찌 빈티지 GG 캔버스 백팩 여성 가방,322000,https://media.bunjang.co.kr/product/422242199_1_1785660241_w{res}.jpg,https://m.bunjang.co.kr/products/422242199
번개장터,구찌,가방,구찌 가방 새상품급 정품,1250000,https://media.bunjang.co.kr/product/421619684_1_1784817454_w{res}.jpg,https://m.bunjang.co.kr/products/421619684
번개장터,구찌,가방,미사용 새상품 / 정품 구찌 1955 홀스빗 가방,950000,https://media.bunjang.co.kr/product/413430197_1_1784604920_w{res}.jpg,https://m.bunjang.co.kr/products/413430197
